bathrooms,bedrooms,list_price,latitude,longitude,lot_sqft,sqft,year_from_now,APT_type,COND_type,COOP_type,Country Homes/Acreag_type,FARM_type,LAND_type,MULT_type,OTHER_type,RENT_type,RESI_type,Timeshare_type,actual rent
-0.441802053,-1.088234456,-0.307997163,0.147024334,-1.332344429,-0.140992281,-0.684202489,-0.896113356,0,1,0,0,0,0,0,0,0,0,0,1800
0.294165717,0.495164426,-0.331347437,0.356582215,0.692095154,-0.106808636,0.109496872,0.053763618,0,0,0,0,0,0,0,0,0,1,0,1300
1.766101257,1.286863867,-0.15257546,-0.44644173,-0.205224014,-0.146825825,0.584870843,-0.896113356,0,0,0,0,0,0,0,0,0,1,0,2950
0.294165717,0.495164426,-0.137711017,-0.418643658,-0.192933539,-0.146825825,0.616884592,-1.010098593,0,0,0,0,0,0,0,0,0,1,0,2703
1.030133487,0.495164426,-0.196086702,-0.917719356,0.752568621,0.083047938,0.823463878,-0.896113356,0,0,0,0,0,0,0,0,0,1,0,2381
-1.177769823,-1.088234456,-0.149727865,-1.248462213,0.882849174,-0.106808636,-0.681786357,1.687552014,0,0,0,0,0,0,0,0,0,1,0,2600
0.294165717,0.495164426,-0.282938332,-1.245591003,0.878865921,-0.106808636,-0.261983423,1.421586461,0,0,0,0,0,0,0,0,0,1,0,2500
-0.441802053,-0.296535015,-0.220291255,-0.491855851,0.785347974,-0.106808636,-0.25533906,-0.136211777,0,0,0,0,0,0,0,0,0,1,0,2330
0.294165717,0.495164426,0.038839837,0.146999795,-1.337850532,-0.100805139,0.455003748,0.851660276,0,0,0,0,0,0,0,0,0,1,0,4500
-0.441802053,0.495164426,0.12426767,0.146780513,-1.436665786,-0.12294045,0.208558284,0.623689803,0,0,0,0,0,0,0,0,0,1,0,3605
1.030133487,0.495164426,-0.0949971,-0.8374172,0.740628445,0.325378841,0.815007416,-0.478167487,0,0,0,0,0,0,0,0,0,1,0,3623
-0.441802053,-0.296535015,-0.26870036,-0.794546234,0.819570621,-0.124538933,-0.602658034,-1.12408383,0,1,0,0,0,0,0,0,0,0,0,1750
